dist_threshold,wp_threshold,policy,episodes,SR_percent,OSR_percent,NE_m,TL_m,stop_fired,mean_stop_step
0.15,0.05,baseline_dist,15,20.0,46.7,6.51,8.08,0,
0.15,0.05,stable_dist_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.05,waypoint_norm_k3,15,13.3,40.0,6.46,7.25,3,24.0
0.15,0.05,hybrid_dist_waypoint_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.10,baseline_dist,15,20.0,46.7,6.51,8.08,0,
0.15,0.10,stable_dist_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.10,waypoint_norm_k3,15,13.3,26.7,6.23,5.15,13,26.5
0.15,0.10,hybrid_dist_waypoint_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.15,baseline_dist,15,20.0,46.7,6.51,8.08,0,
0.15,0.15,stable_dist_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.15,waypoint_norm_k3,15,20.0,26.7,5.27,2.45,15,13.4
0.15,0.15,hybrid_dist_waypoint_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.20,baseline_dist,15,20.0,46.7,6.51,8.08,0,
0.15,0.20,stable_dist_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.20,waypoint_norm_k3,15,26.7,26.7,5.34,1.26,15,5.7
0.15,0.20,hybrid_dist_waypoint_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.25,baseline_dist,15,20.0,46.7,6.51,8.08,0,
0.15,0.25,stable_dist_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.25,waypoint_norm_k3,15,20.0,20.0,5.81,0.54,15,2.1
0.15,0.25,hybrid_dist_waypoint_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.30,baseline_dist,15,20.0,46.7,6.51,8.08,0,
0.15,0.30,stable_dist_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.30,waypoint_norm_k3,15,20.0,20.0,5.83,0.52,15,2.0
0.15,0.30,hybrid_dist_waypoint_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.40,baseline_dist,15,20.0,46.7,6.51,8.08,0,
0.15,0.40,stable_dist_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.40,waypoint_norm_k3,15,20.0,20.0,5.83,0.52,15,2.0
0.15,0.40,hybrid_dist_waypoint_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.50,baseline_dist,15,20.0,46.7,6.51,8.08,0,
0.15,0.50,stable_dist_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.50,waypoint_norm_k3,15,20.0,20.0,5.83,0.52,15,2.0
0.15,0.50,hybrid_dist_waypoint_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.75,baseline_dist,15,20.0,46.7,6.51,8.08,0,
0.15,0.75,stable_dist_k3,15,20.0,46.7,6.51,8.08,0,
0.15,0.75,waypoint_norm_k3,15,20.0,20.0,5.83,0.52,15,2.0
0.15,0.75,hybrid_dist_waypoint_k3,15,20.0,46.7,6.51,8.08,0,
0.15,1.00,baseline_dist,15,20.0,46.7,6.51,8.08,0,
0.15,1.00,stable_dist_k3,15,20.0,46.7,6.51,8.08,0,
0.15,1.00,waypoint_norm_k3,15,20.0,20.0,5.83,0.52,15,2.0
0.15,1.00,hybrid_dist_waypoint_k3,15,20.0,46.7,6.51,8.08,0,
