episode_id,scene,start_x,start_y,goal_x,goal_y,init_dist_m,final_dist_m,min_dist_m,success_r_m,success,oracle_suc,traj_len_m,n_steps,collisions
kujiale_0092_kujiale_0092_91_1,kujiale_0092,1.437,6.284,-0.925,-1.44,8.078,4.277,4.024,3.0,False,False,8.456,51,0
kujiale_0092_kujiale_0092_9_2,kujiale_0092,1.487,-2.601,1.934,6.32,8.932,2.818,2.818,3.0,True,True,6.982,39,0
kujiale_0118_kujiale_0118_25_3,kujiale_0118,4.3,1.612,6.802,-1.012,3.626,7.293,3.508,3.0,False,False,7.362,50,0
kujiale_0118_kujiale_0118_31_0,kujiale_0118,2.544,3.375,6.13,-3.681,7.915,3.516,3.448,3.0,False,False,7.797,51,0
kujiale_0118_kujiale_0118_40_4,kujiale_0118,4.401,-1.763,-5.871,-0.891,10.308,12.576,9.946,3.0,False,False,10.389,69,0
kujiale_0203_kujiale_0203_15_3,kujiale_0203,-6.966,5.573,-4.658,0.515,5.559,5.64,4.843,3.0,False,False,5.589,41,0
kujiale_0203_kujiale_0203_16_3,kujiale_0203,-6.714,1.598,-7.638,-3.487,5.168,12.087,5.168,3.0,False,False,7.337,54,0
kujiale_0203_kujiale_0203_22_4,kujiale_0203,-2.327,-0.565,-7.776,-2.915,5.933,7.825,5.706,3.0,False,False,6.906,62,0
kujiale_0203_kujiale_0203_25_0,kujiale_0203,-6.563,-0.364,-7.719,-2.873,2.762,4.546,1.402,3.0,False,True,6.711,47,0
kujiale_0203_kujiale_0203_32_2,kujiale_0203,-7.369,-0.364,-6.489,1.925,2.453,5.739,1.735,3.0,False,True,7.192,59,0
kujiale_0203_kujiale_0203_43_1,kujiale_0203,-3.134,4.063,-3.836,-2.288,6.39,2.264,2.264,3.0,True,True,4.649,44,0
kujiale_0203_kujiale_0203_49_3,kujiale_0203,-6.966,-0.867,-1.936,-5.044,6.538,1.996,1.731,3.0,True,True,7.323,63,0
kujiale_0271_kujiale_0271_15_1,kujiale_0271,-3.707,1.518,2.96,2.3,6.713,5.453,1.704,3.0,False,True,11.672,67,0
kujiale_0271_kujiale_0271_24_4,kujiale_0271,-2.662,3.01,4.273,-2.906,9.116,7.123,6.365,3.0,False,False,9.745,61,0
kujiale_0271_kujiale_0271_7_3,kujiale_0271,-0.473,3.508,-2.654,3.398,2.184,14.485,2.184,3.0,False,True,13.102,74,0
