seq_len,stable_k,best_threshold,episodes,SR_percent,OSR_percent,NE_m,TL_m,stop_fired,mean_stop_step,feature_dim,run_dir
8,2,0.80,15,33.3,40.0,5.18,6.28,7,32.0,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq8_k2
8,3,0.50,15,33.3,33.3,4.47,4.24,13,23.6,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq8_k3
16,5,0.10,15,33.3,33.3,4.59,3.42,15,20.4,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq16_k5
4,5,0.50,15,33.3,33.3,4.74,3.94,11,17.3,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq4_k5
8,1,0.90,15,33.3,33.3,4.92,5.39,10,25.4,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq8_k1
8,5,0.40,15,26.7,40.0,4.85,5.09,10,28.0,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq8_k5
12,2,0.40,15,26.7,26.7,4.69,2.83,15,17.2,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq12_k2
12,3,0.30,15,26.7,26.7,4.72,2.83,15,17.0,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq12_k3
16,2,0.40,15,26.7,26.7,4.73,3.23,15,19.3,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq16_k2
12,1,0.60,15,26.7,26.7,4.74,2.76,15,16.0,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq12_k1
4,2,0.60,15,26.7,26.7,4.76,2.77,15,17.0,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq4_k2
16,1,0.70,15,26.7,26.7,4.80,2.94,15,17.1,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq16_k1
16,3,0.20,15,26.7,26.7,4.83,2.53,15,14.6,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq16_k3
4,1,0.70,15,26.7,26.7,5.06,2.30,15,13.6,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq4_k1
12,5,0.10,15,26.7,26.7,5.10,3.16,14,16.7,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq12_k5
4,3,0.80,15,20.0,46.7,6.50,8.08,1,64.0,,results/bo_reviewer_packet/temporal_stop_head_ablation/seq4_k3
