episode_id,method,method_label,instruction,ree_m,success,failure_reason,retrieved_idx,n_keyframes,true_goal_x,true_goal_y,retrieved_pos_x,retrieved_pos_y,threshold_m,stride,ree_metric
cvlo_ep001,oracle,Diagnostic upper bound — not deployable,Navigate from the entrance to the first desk area in the open office.,0.0,True,,6,7,5.5,1.5,5.5,1.5,3.0,5,euclidean_world_position_metres
cvlo_ep002,oracle,Diagnostic upper bound — not deployable,Move through the open office and reach the meeting room table.,0.0,True,,6,7,7.0,8.0,7.0,8.0,3.0,5,euclidean_world_position_metres
cvlo_ep003,oracle,Diagnostic upper bound — not deployable,Walk through the entire office from the entrance to the end of the hallway.,0.0,True,,8,9,14.0,8.0,14.0,8.0,3.0,5,euclidean_world_position_metres
cvlo_ep004,oracle,Diagnostic upper bound — not deployable,Leave the meeting room and navigate to the back office desk.,0.0,True,,8,9,12.0,1.5,12.0,1.5,3.0,5,euclidean_world_position_metres
cvlo_ep005,oracle,Diagnostic upper bound — not deployable,Start near the first desk and navigate past the open office to the cabinet in the hallway.,0.0,True,,8,9,15.199999809265137,7.0,15.199999809265137,7.0,3.0,5,euclidean_world_position_metres
cvlo_ep006,oracle,Diagnostic upper bound — not deployable,Walk back from the end of the hallway to the office entrance.,0.0,True,,8,9,2.0,5.0,2.0,5.0,3.0,5,euclidean_world_position_metres
cvlo_ep001,last,Non-language lower/comparison baseline,Navigate from the entrance to the first desk area in the open office.,0.0,True,,6,7,5.5,1.5,5.5,1.5,3.0,5,euclidean_world_position_metres
cvlo_ep002,last,Non-language lower/comparison baseline,Move through the open office and reach the meeting room table.,0.0,True,,6,7,7.0,8.0,7.0,8.0,3.0,5,euclidean_world_position_metres
cvlo_ep003,last,Non-language lower/comparison baseline,Walk through the entire office from the entrance to the end of the hallway.,0.0,True,,8,9,14.0,8.0,14.0,8.0,3.0,5,euclidean_world_position_metres
cvlo_ep004,last,Non-language lower/comparison baseline,Leave the meeting room and navigate to the back office desk.,0.0,True,,8,9,12.0,1.5,12.0,1.5,3.0,5,euclidean_world_position_metres
cvlo_ep005,last,Non-language lower/comparison baseline,Start near the first desk and navigate past the open office to the cabinet in the hallway.,0.0,True,,8,9,15.199999809265137,7.0,15.199999809265137,7.0,3.0,5,euclidean_world_position_metres
cvlo_ep006,last,Non-language lower/comparison baseline,Walk back from the end of the hallway to the office entrance.,0.0,True,,8,9,2.0,5.0,2.0,5.0,3.0,5,euclidean_world_position_metres
